plan_id,benefit_year,service_group,benefit_name,coverage_status,in_network_member_cost_share,coverage_limit_or_note,prior_authorization_rule,referral_rule,source_system
SYN-MA-HMO-01,2026,PRIMARY_CARE,Primary care visit,COVERED,$0 copay,N/A,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,SPECIALIST,Specialist visit,COVERED,$25 copay,N/A,NOT_REQUIRED,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,INPATIENT_SURGERY,Inpatient surgery/hospital,COVERED,20% coinsurance,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,OUTPATIENT_SURGERY,Outpatient surgery,COVERED,$250 copay,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,KNEE_ARTHROPLASTY,Total knee replacement,COVERED,20% coinsurance,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,HIP_ARTHROPLASTY,Total hip replacement,COVERED,20% coinsurance,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,CATARACT_SURGERY,Cataract surgery,COVERED,$225 copay,N/A,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,PHYSICAL_THERAPY,Outpatient physical therapy,COVERED,$20 per visit,30 visits/year,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,DME,Durable medical equipment,COVERED,20% coinsurance,N/A,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,TRANSPORTATION,Non-emergency transportation,COVERED,$0,24 one-way trips/year,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,HOME_HEALTH,Home health,COVERED,$0,Plan rules apply,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-HMO-01,2026,POST_DISCHARGE_MEALS,Post-discharge meals,COVERED,$0,14 meals after qualifying discharge,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,PRIMARY_CARE,Primary care visit,COVERED,$10 in-network,Higher OON cost share,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,SPECIALIST,Specialist visit,COVERED,$35 in-network,Higher OON cost share,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,INPATIENT_SURGERY,Inpatient surgery/hospital,COVERED,20% INN,40% OON,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,OUTPATIENT_SURGERY,Outpatient surgery,COVERED,20% INN,40% OON,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,KNEE_ARTHROPLASTY,Total knee replacement,COVERED,20% INN,40% OON,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,HIP_ARTHROPLASTY,Total hip replacement,COVERED,20% INN,40% OON,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,CATARACT_SURGERY,Cataract surgery,COVERED,20% INN,40% OON,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,PHYSICAL_THERAPY,Outpatient physical therapy,COVERED,$25 INN,40 visits/year,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,DME,Durable medical equipment,COVERED,20% INN,Higher OON cost share,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,TRANSPORTATION,Non-emergency transportation,NOT_COVERED,N/A,N/A,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,HOME_HEALTH,Home health,COVERED,10% INN,Plan rules apply,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-MA-PPO-02,2026,POST_DISCHARGE_MEALS,Post-discharge meals,NOT_COVERED,N/A,N/A,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,PRIMARY_CARE,Primary care visit,COVERED,$0,N/A,NOT_REQUIRED,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,SPECIALIST,Specialist visit,COVERED,$0,N/A,NOT_REQUIRED,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,INPATIENT_SURGERY,Inpatient surgery/hospital,COVERED,$0,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,OUTPATIENT_SURGERY,Outpatient surgery,COVERED,$0,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,KNEE_ARTHROPLASTY,Total knee replacement,COVERED,$0,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,HIP_ARTHROPLASTY,Total hip replacement,COVERED,$0,N/A,CONDITIONAL,CONDITIONAL,PLAN_BENEFIT_CONFIGURATION
SYN-DSNP-03,2026,CATARACT_SURGERY,Cataract surgery,COVERED,$0,N/A,CONDITIONAL,NOT_REQUIRED,PLAN_BENEFIT_CONFIGURATION
